trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,0.0,10600.0,10780.0,10565.0,10770.0,131382.0,0.0,122724.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-06,1.4520096e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,1.0,10725.0,10745.0,10640.0,10685.0,101762.0,122724.0,122254.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-07,1.452096e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,2.0,10655.0,10725.0,10610.0,10675.0,116908.0,122254.0,123626.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-08,1.4521824e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,3.0,10655.0,10765.0,10590.0,10745.0,146565.0,123626.0,126549.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-11,1.4524416e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,4.0,10750.0,10890.0,10740.0,10815.0,177193.0,126549.0,124876.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-12,1.452528e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,5.0,10805.0,10860.0,10565.0,10580.0,227815.0,124876.0,135246.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-13,1.4526144e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,6.0,10610.0,10660.0,10500.0,10595.0,212818.0,135246.0,140124.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-14,1.4527008e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,7.0,10580.0,10770.0,10555.0,10700.0,139782.0,140124.0,132286.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-15,1.4527872e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,8.0,10705.0,10750.0,10645.0,10650.0,97169.0,132286.0,130622.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-18,1.4530464e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,9.0,10625.0,10795.0,10625.0,10725.0,89521.0,130622.0,119634.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-19,1.4531328e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,10.0,10725.0,10815.0,10700.0,10810.0,77186.0,119634.0,114727.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-20,1.4532192e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,11.0,10805.0,10820.0,10650.0,10690.0,88090.0,114727.0,110892.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-21,1.4533056e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,12.0,10680.0,10695.0,10615.0,10655.0,60650.0,110892.0,111895.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-22,1.453392e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,13.0,10670.0,10815.0,10650.0,10815.0,99410.0,111895.0,113708.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-25,1.4536512e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,14.0,10930.0,10950.0,10680.0,10710.0,95939.0,113708.0,105828.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-26,1.4537376e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,15.0,10710.0,10750.0,10685.0,10725.0,42230.0,105828.0,101554.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-27,1.453824e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,16.0,10755.0,10835.0,10720.0,10785.0,55916.0,101554.0,93987.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-28,1.4539104e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,17.0,10785.0,10850.0,10735.0,10745.0,72700.0,93987.0,84990.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-29,1.4539968e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,18.0,10730.0,10790.0,10690.0,10725.0,41798.0,84990.0,79501.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-01,1.454256e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,19.0,10735.0,10800.0,10565.0,10620.0,51427.0,79501.0,72542.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-02,1.4543424e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,20.0,10650.0,10705.0,10620.0,10675.0,32414.0,72542.0,115148.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-03,1.4544288e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,21.0,10690.0,10745.0,10635.0,10710.0,52992.0,115148.0,109827.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-04,1.4545152e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,22.0,10720.0,10930.0,10705.0,10900.0,78619.0,109827.0,109516.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-05,1.4546016e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,23.0,10890.0,10900.0,10785.0,10800.0,57283.0,109516.0,105668.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-15,1.4554656e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,24.0,10750.0,10880.0,10715.0,10875.0,38100.0,105668.0,110886.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-16,1.455552e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,25.0,10870.0,11070.0,10830.0,11045.0,141116.0,110886.0,128898.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-17,1.4556384e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,26.0,11045.0,11120.0,10930.0,10980.0,115475.0,128898.0,122791.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-18,1.4557248e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,27.0,10995.0,11055.0,10945.0,10965.0,61406.0,122791.0,123868.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-19,1.4558112e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,28.0,10960.0,11085.0,10925.0,11060.0,69963.0,123868.0,123643.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-22,1.4560704e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,29.0,11080.0,11275.0,11055.0,11210.0,110466.0,123643.0,125104.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-23,1.4561568e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,30.0,11230.0,11285.0,11155.0,11225.0,80613.0,125104.0,117708.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-24,1.4562432e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,31.0,11195.0,11210.0,11085.0,11150.0,70308.0,117708.0,110613.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-25,1.4563296e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,32.0,11145.0,11325.0,11130.0,11230.0,95375.0,110613.0,108641.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-26,1.456416e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,33.0,11285.0,11340.0,11170.0,11265.0,109215.0,108641.0,104832.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-29,1.4566752e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,34.0,11290.0,11400.0,11255.0,11265.0,107489.0,104832.0,87207.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-01,1.4567616e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,35.0,11325.0,11345.0,11020.0,11185.0,75565.0,87207.0,72895.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-02,1.456848e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,36.0,11260.0,11340.0,11155.0,11325.0,90632.0,72895.0,125864.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-03,1.4569344e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,37.0,11315.0,11370.0,11280.0,11365.0,63249.0,125864.0,125351.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-04,1.4570208e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,38.0,11365.0,11485.0,11330.0,11435.0,113909.0,125351.0,124520.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-07,1.45728e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,39.0,11415.0,11645.0,11365.0,11455.0,176900.0,124520.0,129422.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-08,1.4573664e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,40.0,11480.0,11595.0,11410.0,11535.0,162074.0,129422.0,125714.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-09,1.4574528e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,41.0,11545.0,11545.0,11055.0,11370.0,148222.0,125714.0,120922.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-10,1.4575392e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,42.0,11360.0,11415.0,11265.0,11315.0,84166.0,120922.0,117849.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-11,1.4576256e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,43.0,11280.0,11375.0,11245.0,11375.0,72752.0,117849.0,115499.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-14,1.4578848e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,44.0,11330.0,11455.0,11320.0,11335.0,70964.0,115499.0,116254.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-15,1.4579712e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,45.0,11300.0,11355.0,11270.0,11300.0,62920.0,116254.0,115731.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-16,1.4580576e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,46.0,11220.0,11305.0,11200.0,11275.0,55125.0,115731.0,114974.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-17,1.458144e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,47.0,11245.0,11365.0,11230.0,11340.0,47258.0,114974.0,111535.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-18,1.4582304e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,48.0,11320.0,11500.0,11320.0,11455.0,79348.0,111535.0,112049.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-21,1.4584896e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,49.0,11435.0,11580.0,11400.0,11485.0,77360.0,112049.0,111760.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-22,1.458576e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,50.0,11505.0,11550.0,11470.0,11515.0,47468.0,111760.0,112207.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-23,1.4586624e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,51.0,11485.0,11545.0,11460.0,11500.0,47504.0,112207.0,105223.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-24,1.4587488e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,52.0,11500.0,11640.0,11465.0,11525.0,120910.0,105223.0,95497.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-25,1.4588352e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,53.0,11520.0,11715.0,11510.0,11700.0,87038.0,95497.0,105957.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-28,1.4590944e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,54.0,11710.0,11830.0,11680.0,11740.0,82425.0,105957.0,105820.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-29,1.4591808e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,55.0,11755.0,11880.0,11700.0,11755.0,91563.0,105820.0,105502.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-30,1.4592672e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,56.0,11765.0,11780.0,11690.0,11740.0,53733.0,105502.0,99795.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-31,1.4593536e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,57.0,11705.0,11810.0,11700.0,11775.0,57649.0,99795.0,91421.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-01,1.45944e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,58.0,11790.0,11920.0,11770.0,11890.0,53225.0,91421.0,83575.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-05,1.4597856e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,59.0,11925.0,11990.0,11855.0,11870.0,31075.0,83575.0,79894.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-06,1.459872e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,60.0,11820.0,11910.0,11750.0,11765.0,74681.0,79894.0,125757.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-07,1.4599584e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,61.0,11765.0,11815.0,11745.0,11780.0,60559.0,125757.0,128392.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-08,1.4600448e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,62.0,11725.0,11755.0,11520.0,11635.0,81489.0,128392.0,130223.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-11,1.460304e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,63.0,11675.0,11820.0,11665.0,11775.0,71956.0,130223.0,136154.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-12,1.4603904e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,64.0,11765.0,11820.0,11750.0,11785.0,43962.0,136154.0,138693.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-13,1.4604768e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,65.0,11830.0,12075.0,11825.0,11945.0,137057.0,138693.0,140692.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-14,1.4605632e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,66.0,12035.0,12070.0,11915.0,11960.0,84252.0,140692.0,140701.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-15,1.4606496e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,67.0,12000.0,12020.0,11925.0,11960.0,65785.0,140701.0,139236.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-18,1.4609088e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,68.0,11945.0,12010.0,11830.0,11955.0,70065.0,139236.0,138151.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-19,1.4609952e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,69.0,11995.0,12045.0,11955.0,12035.0,63433.0,138151.0,134081.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-20,1.4610816e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,70.0,12070.0,12120.0,12025.0,12075.0,74952.0,134081.0,124680.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-21,1.461168e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,71.0,12130.0,12540.0,12115.0,12400.0,169709.0,124680.0,123744.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-22,1.4612544e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,72.0,12450.0,12805.0,12260.0,12805.0,274278.0,123744.0,135877.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-25,1.4615136e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,73.0,12875.0,13075.0,12700.0,12885.0,262803.0,135877.0,127847.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-26,1.4616e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,74.0,12860.0,12955.0,12740.0,12790.0,129038.0,127847.0,126325.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-27,1.4616864e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,75.0,12800.0,12980.0,12765.0,12820.0,112639.0,126325.0,118074.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-28,1.4617728e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,76.0,12835.0,12940.0,12445.0,12485.0,241161.0,118074.0,90901.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-29,1.4618592e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,77.0,12565.0,12730.0,12480.0,12705.0,94233.0,90901.0,80852.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-05-03,1.4622048e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,78.0,12690.0,12840.0,12665.0,12805.0,39749.0,80852.0,78752.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-05-04,1.4622912e+18,AL,KQ.m@SHFE.al,SHFE,al,base_metal,79.0,12710.0,12740.0,12455.0,12475.0,103964.0,78752.0,141848.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
