trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,0.0,36070.0,36630.0,35940.0,36590.0,116156.0,0.0,81417.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-06,1.4520096e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,1.0,36430.0,36530.0,36140.0,36240.0,238414.0,81417.0,149937.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-07,1.452096e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,2.0,36110.0,36580.0,35910.0,36090.0,323461.0,149937.0,152619.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-08,1.4521824e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,3.0,35870.0,36090.0,35230.0,35680.0,487225.0,152619.0,159232.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-11,1.4524416e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,4.0,35610.0,35790.0,34760.0,34770.0,323928.0,159232.0,178250.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-12,1.452528e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,5.0,34870.0,35140.0,34610.0,34630.0,334353.0,178250.0,177331.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-13,1.4526144e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,6.0,34720.0,35070.0,34660.0,34810.0,305519.0,177331.0,175948.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-14,1.4527008e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,7.0,34790.0,35030.0,34350.0,34930.0,356571.0,175948.0,166871.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-15,1.4527872e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,8.0,34850.0,35330.0,34730.0,34800.0,299028.0,166871.0,158785.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-18,1.4530464e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,9.0,34470.0,35200.0,34450.0,34990.0,336073.0,158785.0,157701.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-19,1.4531328e+18,CU,KQ.m@SHFE.cu,SHFE,cu,base_metal,10.0,34980.0,35600.0,34840.0,35360.0,318295.0,157701.0,153804.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
