trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,0.0,824.0,830.0,822.0,829.0,91808.0,0.0,124562.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-06,1.4520096e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,1.0,829.0,831.0,820.0,823.0,87979.0,124562.0,124536.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-07,1.452096e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,2.0,821.0,830.0,821.0,830.0,105508.0,124536.0,125416.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-08,1.4521824e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,3.0,828.0,848.0,827.0,841.0,315699.0,125416.0,163653.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-11,1.4524416e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,4.0,841.0,850.0,833.0,834.0,261774.0,163653.0,174465.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-12,1.452528e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,5.0,835.0,837.0,825.0,831.0,184039.0,174465.0,130894.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-13,1.4526144e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,6.0,831.0,834.0,828.0,830.0,96930.0,130894.0,127542.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-14,1.4527008e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,7.0,830.0,834.0,823.0,833.0,134949.0,127542.0,121815.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-15,1.4527872e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,8.0,833.0,840.0,832.0,836.0,98369.0,121815.0,128030.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-18,1.4530464e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,9.0,835.0,858.0,834.0,854.0,211285.0,128030.0,145662.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-19,1.4531328e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,10.0,853.0,861.0,850.0,860.0,147668.0,145662.0,158003.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-20,1.4532192e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,11.0,860.0,861.0,852.0,853.0,100546.0,158003.0,150057.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-21,1.4533056e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,12.0,853.0,860.0,851.0,857.0,91696.0,150057.0,155219.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-22,1.453392e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,13.0,857.0,873.0,856.0,868.0,221281.0,155219.0,166737.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-25,1.4536512e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,14.0,868.0,870.0,851.0,856.0,140433.0,166737.0,136753.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-26,1.4537376e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,15.0,855.0,862.0,853.0,855.0,82280.0,136753.0,126206.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-27,1.453824e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,16.0,857.0,865.0,855.0,862.0,78557.0,126206.0,126189.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-28,1.4539104e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,17.0,861.0,863.0,853.0,854.0,66058.0,126189.0,124075.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-29,1.4539968e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,18.0,855.0,858.0,846.0,851.0,97543.0,124075.0,112102.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-01,1.454256e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,19.0,853.0,857.0,846.0,849.0,74064.0,112102.0,108288.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-02,1.4543424e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,20.0,849.0,851.0,842.0,850.0,68330.0,108288.0,99922.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-03,1.4544288e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,21.0,852.0,855.0,847.0,850.0,49682.0,99922.0,92448.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-04,1.4545152e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,22.0,850.0,865.0,849.0,865.0,67150.0,92448.0,86362.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-05,1.4546016e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,23.0,865.0,867.0,857.0,863.0,37244.0,86362.0,79453.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-15,1.4554656e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,24.0,861.0,871.0,859.0,868.0,46049.0,79453.0,87144.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-16,1.455552e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,25.0,869.0,869.0,862.0,862.0,43568.0,87144.0,92243.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-17,1.4556384e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,26.0,861.0,885.0,860.0,884.0,136938.0,92243.0,117297.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-18,1.4557248e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,27.0,884.0,890.0,881.0,886.0,110256.0,117297.0,126178.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-19,1.4558112e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,28.0,886.0,897.0,883.0,889.0,122446.0,126178.0,121239.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-22,1.4560704e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,29.0,888.0,923.0,888.0,905.0,156472.0,121239.0,115576.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-23,1.4561568e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,30.0,905.0,909.0,892.0,901.0,113235.0,115576.0,106168.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-24,1.4562432e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,31.0,902.0,907.0,895.0,906.0,85064.0,106168.0,104238.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-25,1.4563296e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,32.0,906.0,924.0,903.0,914.0,186790.0,104238.0,112329.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-26,1.456416e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,33.0,914.0,923.0,904.0,921.0,141614.0,112329.0,112827.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-29,1.4566752e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,34.0,921.0,922.0,907.0,918.0,117327.0,112827.0,106090.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-01,1.4567616e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,35.0,926.0,933.0,915.0,930.0,149222.0,106090.0,114302.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-02,1.456848e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,36.0,930.0,933.0,924.0,929.0,109912.0,114302.0,110130.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-03,1.4569344e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,37.0,928.0,937.0,921.0,923.0,113751.0,110130.0,106449.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-04,1.4570208e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,38.0,922.0,932.0,921.0,929.0,112392.0,106449.0,103957.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-07,1.45728e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,39.0,929.0,966.0,928.0,966.0,178266.0,103957.0,102467.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-08,1.4573664e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,40.0,978.0,1019.0,948.0,974.0,807568.0,102467.0,90781.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-09,1.4574528e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,41.0,964.0,984.0,952.0,973.0,238963.0,90781.0,81520.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-10,1.4575392e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,42.0,975.0,996.0,958.0,959.0,224429.0,81520.0,84533.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-11,1.4576256e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,43.0,954.0,970.0,953.0,959.0,105278.0,84533.0,78918.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-14,1.4578848e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,44.0,955.0,985.0,954.0,958.0,161663.0,78918.0,79385.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-15,1.4579712e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,45.0,957.0,962.0,942.0,947.0,158005.0,79385.0,70817.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-16,1.4580576e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,46.0,943.0,953.0,938.0,945.0,104465.0,70817.0,69638.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-17,1.458144e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,47.0,946.0,958.0,933.0,941.0,184172.0,69638.0,78143.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-18,1.4582304e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,48.0,941.0,968.0,938.0,953.0,284711.0,78143.0,86276.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-21,1.4584896e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,49.0,953.0,960.0,935.0,936.0,210574.0,86276.0,81790.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-22,1.458576e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,50.0,935.0,941.0,926.0,928.0,169465.0,81790.0,80470.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-23,1.4586624e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,51.0,929.0,946.0,927.0,934.0,127789.0,80470.0,73712.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-24,1.4587488e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,52.0,933.0,939.0,916.0,919.0,167084.0,73712.0,63230.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-25,1.4588352e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,53.0,919.0,927.0,913.0,924.0,103137.0,63230.0,52835.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-28,1.4590944e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,54.0,925.0,929.0,916.0,916.0,66833.0,52835.0,50994.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-29,1.4591808e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,55.0,917.0,925.0,916.0,919.0,50545.0,50994.0,49474.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-30,1.4592672e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,56.0,920.0,933.0,918.0,930.0,74909.0,49474.0,51748.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-31,1.4593536e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,57.0,931.0,933.0,923.0,929.0,45253.0,51748.0,48362.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-01,1.45944e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,58.0,930.0,939.0,926.0,930.0,65705.0,48362.0,48987.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-05,1.4597856e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,59.0,927.0,934.0,919.0,924.0,35257.0,48987.0,43957.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-06,1.459872e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,60.0,924.0,928.0,919.0,924.0,30322.0,43957.0,38179.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-07,1.4599584e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,61.0,951.0,974.0,950.0,970.0,135157.0,38179.0,66329.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-08,1.4600448e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,62.0,968.0,972.0,959.0,966.0,112907.0,66329.0,66878.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-11,1.460304e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,63.0,969.0,988.0,967.0,973.0,170677.0,66878.0,80455.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-12,1.4603904e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,64.0,975.0,1006.0,973.0,1004.0,196733.0,80455.0,90976.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-13,1.4604768e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,65.0,1005.0,1018.0,986.0,994.0,269945.0,90976.0,89192.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-14,1.4605632e+18,FG,KQ.m@CZCE.FG,CZCE,FG,black,66.0,992.0,999.0,986.0,997.0,144031.0,89192.0,89968.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
