trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2021-01-08,1.6100352e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,0.0,29050.0,30680.0,26385.0,26810.0,91056.0,0.0,14984.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-11,1.6102944e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,1.0,26260.0,26720.0,26030.0,26030.0,23026.0,14984.0,17600.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-12,1.6103808e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,2.0,25745.0,26210.0,25205.0,25560.0,39402.0,17600.0,17194.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-13,1.6104672e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,3.0,25865.0,26350.0,25715.0,25870.0,16470.0,17194.0,17050.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-14,1.6105536e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,4.0,25855.0,26155.0,24860.0,24890.0,24216.0,17050.0,18719.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-15,1.61064e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,5.0,25155.0,25155.0,24460.0,24725.0,20257.0,18719.0,18594.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-18,1.6108992e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,6.0,24845.0,25780.0,24805.0,25140.0,19855.0,18594.0,18535.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-19,1.6109856e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,7.0,25185.0,25390.0,24880.0,25025.0,8816.0,18535.0,17800.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-20,1.611072e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,8.0,24980.0,25090.0,24500.0,24910.0,7832.0,17800.0,17573.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2021-01-21,1.6111584e+18,LH,KQ.m@DCE.lh,DCE,lh,livestock,9.0,24945.0,25185.0,24800.0,24870.0,6694.0,17573.0,17278.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
