trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,0.0,5646.0,5700.0,5638.0,5696.0,29065.0,0.0,88470.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-06,1.4520096e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,1.0,5694.0,5694.0,5622.0,5632.0,31960.0,88470.0,86110.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-07,1.452096e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,2.0,5618.0,5666.0,5606.0,5624.0,30618.0,86110.0,85818.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-08,1.4521824e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,3.0,5620.0,5656.0,5610.0,5622.0,26470.0,85818.0,86562.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-11,1.4524416e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,4.0,5626.0,5626.0,5576.0,5584.0,51453.0,86562.0,87360.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-12,1.452528e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,5.0,5560.0,5596.0,5528.0,5534.0,43205.0,87360.0,84575.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-13,1.4526144e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,6.0,5540.0,5560.0,5528.0,5540.0,26221.0,84575.0,84526.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-14,1.4527008e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,7.0,5554.0,5568.0,5520.0,5540.0,36398.0,84526.0,85627.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-15,1.4527872e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,8.0,5530.0,5560.0,5520.0,5538.0,25852.0,85627.0,85154.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-18,1.4530464e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,9.0,5522.0,5584.0,5516.0,5568.0,38298.0,85154.0,83907.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-19,1.4531328e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,10.0,5564.0,5602.0,5556.0,5582.0,29937.0,83907.0,87560.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-20,1.4532192e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,11.0,5592.0,5608.0,5534.0,5548.0,34964.0,87560.0,89268.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-21,1.4533056e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,12.0,5552.0,5568.0,5528.0,5532.0,56295.0,89268.0,80791.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-22,1.453392e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,13.0,5536.0,5576.0,5532.0,5572.0,34610.0,80791.0,80354.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-25,1.4536512e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,14.0,5586.0,5598.0,5556.0,5574.0,23903.0,80354.0,80295.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-26,1.4537376e+18,OI,KQ.m@CZCE.OI,CZCE,OI,oilseed,15.0,5558.0,5596.0,5556.0,5580.0,25543.0,80295.0,80567.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
