trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2018-03-27,1.52208e+18,SC,KQ.m@INE.sc,INE,sc,energy,0.0,429.9,431.7,412.6,424.0,20301.0,0.0,1968.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-03-28,1.5221664e+18,SC,KQ.m@INE.sc,INE,sc,energy,1.0,428.8,429.2,406.5,410.4,33599.0,1968.0,3037.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-03-29,1.5222528e+18,SC,KQ.m@INE.sc,INE,sc,energy,2.0,410.9,412.0,401.6,409.7,33334.0,3037.0,3866.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-03-30,1.5223392e+18,SC,KQ.m@INE.sc,INE,sc,energy,3.0,407.8,421.7,405.0,420.3,29281.0,3866.0,3529.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-02,1.5225984e+18,SC,KQ.m@INE.sc,INE,sc,energy,4.0,419.9,421.3,413.8,416.6,12322.0,3529.0,3268.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-03,1.5226848e+18,SC,KQ.m@INE.sc,INE,sc,energy,5.0,412.5,414.3,400.5,402.5,26413.0,3268.0,4273.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-04,1.5227712e+18,SC,KQ.m@INE.sc,INE,sc,energy,6.0,405.6,406.9,399.0,401.5,22117.0,4273.0,4582.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-09,1.5232032e+18,SC,KQ.m@INE.sc,INE,sc,energy,7.0,397.8,403.5,397.7,402.3,7735.0,4582.0,4752.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-10,1.5232896e+18,SC,KQ.m@INE.sc,INE,sc,energy,8.0,404.7,415.2,403.8,413.5,30845.0,4752.0,4496.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-11,1.523376e+18,SC,KQ.m@INE.sc,INE,sc,energy,9.0,414.6,421.8,414.1,417.8,33217.0,4496.0,6231.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-12,1.5234624e+18,SC,KQ.m@INE.sc,INE,sc,energy,10.0,420.7,429.9,416.9,428.7,55038.0,6231.0,7237.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-13,1.5235488e+18,SC,KQ.m@INE.sc,INE,sc,energy,11.0,424.4,428.7,423.3,427.0,31546.0,7237.0,6740.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-16,1.523808e+18,SC,KQ.m@INE.sc,INE,sc,energy,12.0,428.6,431.0,423.5,424.4,32642.0,6740.0,6747.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2018-04-17,1.5238944e+18,SC,KQ.m@INE.sc,INE,sc,energy,13.0,425.2,427.5,421.5,427.4,27500.0,6747.0,6501.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
