trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2022-12-23,1.6717248e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,0.0,18170.0,18220.0,17060.0,17060.0,30354.0,0.0,7629.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2022-12-26,1.671984e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,1.0,16940.0,17435.0,16825.0,17170.0,23991.0,7629.0,7922.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2022-12-27,1.6720704e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,2.0,17210.0,17410.0,17130.0,17165.0,13350.0,7922.0,8685.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2022-12-28,1.6721568e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,3.0,17100.0,17575.0,16960.0,17425.0,21736.0,8685.0,8197.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2022-12-29,1.6722432e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,4.0,17395.0,17665.0,17325.0,17515.0,12999.0,8197.0,7813.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2022-12-30,1.6723296e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,5.0,17535.0,18520.0,17535.0,17895.0,37967.0,7813.0,7708.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-03,1.6726752e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,6.0,17845.0,18040.0,17600.0,17770.0,15386.0,7708.0,7390.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-04,1.6727616e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,7.0,17700.0,18050.0,17555.0,17640.0,14744.0,7390.0,7502.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-05,1.672848e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,8.0,17615.0,17800.0,17500.0,17585.0,10709.0,7502.0,7552.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-06,1.6729344e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,9.0,17535.0,17825.0,17530.0,17820.0,8604.0,7552.0,7712.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-09,1.6731936e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,10.0,17850.0,17920.0,17670.0,17695.0,12281.0,7712.0,12581.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-10,1.67328e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,11.0,17705.0,17785.0,17460.0,17475.0,14945.0,12581.0,19286.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-11,1.6733664e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,12.0,17475.0,17555.0,17315.0,17350.0,20389.0,19286.0,28032.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-12,1.6734528e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,13.0,17330.0,17770.0,17270.0,17445.0,34783.0,28032.0,38561.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-13,1.6735392e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,14.0,17450.0,17690.0,17420.0,17520.0,31521.0,38561.0,52350.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2023-01-16,1.6737984e+18,SI,KQ.m@GFEX.si,GFEX,si,new_energy,15.0,17480.0,17670.0,17450.0,17515.0,23451.0,52350.0,59021.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
