trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,0.0,91650.0,93250.0,91280.0,93000.0,6374.0,0.0,2773.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-06,1.4520096e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,1.0,92770.0,93150.0,92100.0,92720.0,5184.0,2773.0,2835.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-07,1.452096e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,2.0,91680.0,93130.0,91590.0,91700.0,6471.0,2835.0,2800.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-08,1.4521824e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,3.0,91550.0,92880.0,90110.0,92630.0,7586.0,2800.0,3018.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-11,1.4524416e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,4.0,92400.0,93690.0,92400.0,93000.0,7141.0,3018.0,3319.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-12,1.452528e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,5.0,93080.0,94100.0,92000.0,92450.0,7632.0,3319.0,3312.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-13,1.4526144e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,6.0,92620.0,92960.0,91510.0,92600.0,8679.0,3312.0,3674.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-14,1.4527008e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,7.0,92510.0,93630.0,91790.0,93190.0,6841.0,3674.0,3221.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-15,1.4527872e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,8.0,93100.0,94460.0,92710.0,93090.0,6618.0,3221.0,3347.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-18,1.4530464e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,9.0,92810.0,95500.0,92300.0,95060.0,8516.0,3347.0,3446.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-19,1.4531328e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,10.0,95180.0,95360.0,94400.0,94790.0,6488.0,3446.0,3440.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-20,1.4532192e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,11.0,94610.0,94950.0,93500.0,93940.0,5772.0,3440.0,2951.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-21,1.4533056e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,12.0,94110.0,95680.0,94110.0,95240.0,10367.0,2951.0,3205.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-22,1.453392e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,13.0,95560.0,96400.0,95220.0,96150.0,7708.0,3205.0,3319.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-25,1.4536512e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,14.0,96320.0,99700.0,96300.0,97730.0,10439.0,3319.0,3756.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-26,1.4537376e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,15.0,97650.0,97970.0,96800.0,97700.0,8031.0,3756.0,3945.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-27,1.453824e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,16.0,98190.0,100470.0,98050.0,100380.0,16755.0,3945.0,4823.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-28,1.4539104e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,17.0,100810.0,100990.0,100040.0,100260.0,14587.0,4823.0,5292.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-29,1.4539968e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,18.0,99650.0,99890.0,97690.0,98280.0,19775.0,5292.0,4419.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-01,1.454256e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,19.0,99840.0,100280.0,97850.0,98440.0,19917.0,4419.0,4262.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-02,1.4543424e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,20.0,98680.0,99190.0,98410.0,98970.0,10922.0,4262.0,4071.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-03,1.4544288e+18,SN,KQ.m@SHFE.sn,SHFE,sn,base_metal,21.0,99410.0,99440.0,97940.0,98700.0,9717.0,4071.0,3814.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
