trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,V,KQ.m@DCE.v,DCE,v,chemical,0.0,4820.0,4845.0,4775.0,4810.0,10043.0,0.0,24411.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-06,1.4520096e+18,V,KQ.m@DCE.v,DCE,v,chemical,1.0,4800.0,4820.0,4760.0,4785.0,7741.0,24411.0,23996.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-07,1.452096e+18,V,KQ.m@DCE.v,DCE,v,chemical,2.0,4775.0,4775.0,4675.0,4695.0,14801.0,23996.0,21695.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-08,1.4521824e+18,V,KQ.m@DCE.v,DCE,v,chemical,3.0,4685.0,4725.0,4655.0,4660.0,8874.0,21695.0,22209.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-11,1.4524416e+18,V,KQ.m@DCE.v,DCE,v,chemical,4.0,4660.0,4665.0,4585.0,4595.0,11796.0,22209.0,25465.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-12,1.452528e+18,V,KQ.m@DCE.v,DCE,v,chemical,5.0,4575.0,4615.0,4570.0,4590.0,7297.0,25465.0,25072.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-13,1.4526144e+18,V,KQ.m@DCE.v,DCE,v,chemical,6.0,4590.0,4635.0,4585.0,4625.0,6962.0,25072.0,24552.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-14,1.4527008e+18,V,KQ.m@DCE.v,DCE,v,chemical,7.0,4610.0,4655.0,4595.0,4650.0,5789.0,24552.0,24119.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-15,1.4527872e+18,V,KQ.m@DCE.v,DCE,v,chemical,8.0,4660.0,4690.0,4610.0,4615.0,5786.0,24119.0,23933.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-18,1.4530464e+18,V,KQ.m@DCE.v,DCE,v,chemical,9.0,4590.0,4665.0,4590.0,4655.0,9510.0,23933.0,25558.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-19,1.4531328e+18,V,KQ.m@DCE.v,DCE,v,chemical,10.0,4655.0,4750.0,4645.0,4740.0,11687.0,25558.0,26019.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-20,1.4532192e+18,V,KQ.m@DCE.v,DCE,v,chemical,11.0,4720.0,4755.0,4685.0,4715.0,8525.0,26019.0,26866.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-21,1.4533056e+18,V,KQ.m@DCE.v,DCE,v,chemical,12.0,4710.0,4740.0,4655.0,4700.0,7849.0,26866.0,29176.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-22,1.453392e+18,V,KQ.m@DCE.v,DCE,v,chemical,13.0,4760.0,4780.0,4730.0,4775.0,7956.0,29176.0,28758.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-25,1.4536512e+18,V,KQ.m@DCE.v,DCE,v,chemical,14.0,4830.0,4845.0,4790.0,4830.0,8377.0,28758.0,30775.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-26,1.4537376e+18,V,KQ.m@DCE.v,DCE,v,chemical,15.0,4800.0,4820.0,4755.0,4785.0,10714.0,30775.0,30369.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-27,1.453824e+18,V,KQ.m@DCE.v,DCE,v,chemical,16.0,4805.0,4830.0,4790.0,4815.0,5346.0,30369.0,30303.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-28,1.4539104e+18,V,KQ.m@DCE.v,DCE,v,chemical,17.0,4820.0,4830.0,4785.0,4815.0,7742.0,30303.0,30938.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-29,1.4539968e+18,V,KQ.m@DCE.v,DCE,v,chemical,18.0,4825.0,4880.0,4795.0,4865.0,10162.0,30938.0,31286.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-01,1.454256e+18,V,KQ.m@DCE.v,DCE,v,chemical,19.0,4865.0,4890.0,4855.0,4860.0,5108.0,31286.0,32244.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-02,1.4543424e+18,V,KQ.m@DCE.v,DCE,v,chemical,20.0,4845.0,4890.0,4825.0,4870.0,5619.0,32244.0,32541.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-03,1.4544288e+18,V,KQ.m@DCE.v,DCE,v,chemical,21.0,4850.0,4910.0,4850.0,4880.0,4061.0,32541.0,32648.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-04,1.4545152e+18,V,KQ.m@DCE.v,DCE,v,chemical,22.0,4905.0,4960.0,4890.0,4935.0,8152.0,32648.0,31732.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-05,1.4546016e+18,V,KQ.m@DCE.v,DCE,v,chemical,23.0,4925.0,4960.0,4900.0,4915.0,3173.0,31732.0,31394.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-15,1.4554656e+18,V,KQ.m@DCE.v,DCE,v,chemical,24.0,4905.0,4975.0,4875.0,4960.0,5016.0,31394.0,31949.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-16,1.455552e+18,V,KQ.m@DCE.v,DCE,v,chemical,25.0,4980.0,4990.0,4955.0,4980.0,4202.0,31949.0,32320.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-17,1.4556384e+18,V,KQ.m@DCE.v,DCE,v,chemical,26.0,4965.0,4980.0,4905.0,4905.0,5092.0,32320.0,32241.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-18,1.4557248e+18,V,KQ.m@DCE.v,DCE,v,chemical,27.0,4930.0,4960.0,4910.0,4950.0,4528.0,32241.0,32967.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-19,1.4558112e+18,V,KQ.m@DCE.v,DCE,v,chemical,28.0,4940.0,5080.0,4925.0,5075.0,11603.0,32967.0,31168.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-22,1.4560704e+18,V,KQ.m@DCE.v,DCE,v,chemical,29.0,5055.0,5115.0,5050.0,5090.0,6171.0,31168.0,31459.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-23,1.4561568e+18,V,KQ.m@DCE.v,DCE,v,chemical,30.0,5090.0,5130.0,5065.0,5125.0,5067.0,31459.0,32069.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-24,1.4562432e+18,V,KQ.m@DCE.v,DCE,v,chemical,31.0,5085.0,5135.0,5085.0,5110.0,6663.0,32069.0,32002.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
