trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2016-01-05,1.4519232e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,0.0,5654.0,5706.0,5644.0,5702.0,260505.0,0.0,297647.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-06,1.4520096e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,1.0,5696.0,5706.0,5616.0,5620.0,340569.0,297647.0,288418.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-07,1.452096e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,2.0,5610.0,5658.0,5598.0,5626.0,347021.0,288418.0,297524.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-08,1.4521824e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,3.0,5620.0,5666.0,5606.0,5624.0,286702.0,297524.0,295204.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-11,1.4524416e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,4.0,5634.0,5642.0,5566.0,5576.0,342777.0,295204.0,293834.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-12,1.452528e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,5.0,5562.0,5582.0,5522.0,5530.0,276338.0,293834.0,293881.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-13,1.4526144e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,6.0,5540.0,5574.0,5530.0,5542.0,253158.0,293881.0,297493.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-14,1.4527008e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,7.0,5560.0,5586.0,5512.0,5526.0,381755.0,297493.0,322753.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-15,1.4527872e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,8.0,5518.0,5556.0,5504.0,5532.0,271421.0,322753.0,324780.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-18,1.4530464e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,9.0,5514.0,5594.0,5500.0,5576.0,348919.0,324780.0,314155.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-19,1.4531328e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,10.0,5574.0,5628.0,5564.0,5612.0,266749.0,314155.0,326534.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-20,1.4532192e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,11.0,5628.0,5646.0,5550.0,5568.0,317218.0,326534.0,322842.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-21,1.4533056e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,12.0,5566.0,5598.0,5518.0,5526.0,369864.0,322842.0,321057.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-22,1.453392e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,13.0,5534.0,5606.0,5526.0,5590.0,325118.0,321057.0,321732.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-25,1.4536512e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,14.0,5616.0,5630.0,5570.0,5584.0,251197.0,321732.0,310786.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-26,1.4537376e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,15.0,5570.0,5638.0,5568.0,5608.0,328472.0,310786.0,318005.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-27,1.453824e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,16.0,5622.0,5644.0,5586.0,5642.0,308665.0,318005.0,312171.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-28,1.4539104e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,17.0,5640.0,5660.0,5620.0,5630.0,266186.0,312171.0,311201.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-01-29,1.4539968e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,18.0,5626.0,5668.0,5576.0,5578.0,316327.0,311201.0,301568.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-01,1.454256e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,19.0,5580.0,5610.0,5572.0,5610.0,173618.0,301568.0,297439.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-02,1.4543424e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,20.0,5604.0,5662.0,5592.0,5660.0,197143.0,297439.0,299841.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-03,1.4544288e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,21.0,5660.0,5662.0,5608.0,5642.0,168771.0,299841.0,291469.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-04,1.4545152e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,22.0,5648.0,5692.0,5626.0,5682.0,188956.0,291469.0,294171.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-05,1.4546016e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,23.0,5676.0,5750.0,5666.0,5736.0,204409.0,294171.0,297094.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-15,1.4554656e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,24.0,5796.0,5872.0,5756.0,5818.0,213729.0,297094.0,306834.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-16,1.455552e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,25.0,5806.0,5844.0,5772.0,5788.0,188597.0,306834.0,310042.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-17,1.4556384e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,26.0,5778.0,5788.0,5748.0,5754.0,180135.0,310042.0,314085.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-18,1.4557248e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,27.0,5774.0,5814.0,5756.0,5766.0,210352.0,314085.0,304491.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-19,1.4558112e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,28.0,5776.0,5778.0,5736.0,5776.0,243969.0,304491.0,303395.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-22,1.4560704e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,29.0,5748.0,5808.0,5742.0,5784.0,247180.0,303395.0,305931.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-23,1.4561568e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,30.0,5766.0,5776.0,5712.0,5740.0,218819.0,305931.0,298208.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-24,1.4562432e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,31.0,5732.0,5766.0,5658.0,5670.0,258655.0,298208.0,287054.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-25,1.4563296e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,32.0,5654.0,5698.0,5648.0,5658.0,178720.0,287054.0,285822.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-26,1.456416e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,33.0,5668.0,5674.0,5616.0,5662.0,184111.0,285822.0,277289.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-02-29,1.4566752e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,34.0,5662.0,5690.0,5620.0,5672.0,188978.0,277289.0,267893.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-01,1.4567616e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,35.0,5672.0,5696.0,5638.0,5680.0,178935.0,267893.0,262762.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-02,1.456848e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,36.0,5688.0,5732.0,5594.0,5608.0,357421.0,262762.0,277719.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-03,1.4569344e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,37.0,5596.0,5640.0,5576.0,5630.0,310866.0,277719.0,253113.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-04,1.4570208e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,38.0,5646.0,5686.0,5632.0,5672.0,274560.0,253113.0,249256.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-07,1.45728e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,39.0,5676.0,5760.0,5660.0,5728.0,270595.0,249256.0,239009.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-08,1.4573664e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,40.0,5724.0,5776.0,5680.0,5708.0,291443.0,239009.0,232215.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-09,1.4574528e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,41.0,5722.0,5724.0,5646.0,5716.0,175493.0,232215.0,221582.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-10,1.4575392e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,42.0,5734.0,5756.0,5690.0,5696.0,193206.0,221582.0,205219.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-11,1.4576256e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,43.0,5794.0,5974.0,5770.0,5928.0,555379.0,205219.0,394361.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-14,1.4578848e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,44.0,5924.0,5992.0,5882.0,5884.0,478136.0,394361.0,418619.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-15,1.4579712e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,45.0,5876.0,5920.0,5850.0,5870.0,325573.0,418619.0,391187.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-16,1.4580576e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,46.0,5878.0,5918.0,5858.0,5866.0,298795.0,391187.0,392224.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-17,1.458144e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,47.0,5882.0,5978.0,5858.0,5976.0,333825.0,392224.0,430319.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-18,1.4582304e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,48.0,5984.0,6076.0,5978.0,6020.0,471876.0,430319.0,469012.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-21,1.4584896e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,49.0,6026.0,6056.0,5972.0,6040.0,378558.0,469012.0,474965.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-22,1.458576e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,50.0,6038.0,6108.0,6026.0,6062.0,441250.0,474965.0,460070.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-23,1.4586624e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,51.0,6064.0,6094.0,6012.0,6018.0,425013.0,460070.0,439519.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-24,1.4587488e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,52.0,6002.0,6010.0,5924.0,5930.0,337503.0,439519.0,415398.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-25,1.4588352e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,53.0,5916.0,6010.0,5912.0,6006.0,354263.0,415398.0,412810.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-28,1.4590944e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,54.0,6016.0,6044.0,5980.0,5994.0,362559.0,412810.0,413508.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-29,1.4591808e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,55.0,6014.0,6058.0,5984.0,6008.0,371276.0,413508.0,419217.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-30,1.4592672e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,56.0,6050.0,6058.0,5972.0,6002.0,365155.0,419217.0,416592.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-03-31,1.4593536e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,57.0,5990.0,6040.0,5976.0,6040.0,280519.0,416592.0,429621.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-01,1.45944e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,58.0,6024.0,6182.0,6006.0,6170.0,597218.0,429621.0,496994.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-05,1.4597856e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,59.0,6158.0,6182.0,6116.0,6168.0,264888.0,496994.0,508200.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-06,1.459872e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,60.0,6140.0,6152.0,6044.0,6058.0,370212.0,508200.0,466285.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2016-04-07,1.4599584e+18,Y,KQ.m@DCE.y,DCE,y,oilseed,61.0,6042.0,6094.0,6034.0,6078.0,242322.0,466285.0,463736.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
