ma_window,version,vol_bucket,return_col,n_obs,mean_daily,ann_return,ann_vol,sharpe,t_stat,win_rate,max_drawdown
10,long_flat,High,gross_map_vs_passive,2476,-0.00014176393299061501,-0.035724511113634984,0.14142394965467409,-0.2526058082868306,-0.791805259260875,0.43901453957996767,-0.4718984872922768
10,long_flat,Low,gross_map_vs_passive,2476,-3.266664404538939e-05,-0.008231994299438126,0.06358430026392323,-0.12946583142802684,-0.40581697988073484,0.4535541195476575,-0.2694117159378483
10,long_flat,Mid,gross_map_vs_passive,2476,-0.0001329036774804914,-0.03349172672508383,0.08534529582172352,-0.39242616013709986,-1.2300789897724034,0.45193861066235863,-0.38968780087928323
10,long_short,High,gross_map_vs_passive,2476,-0.00028352786598123003,-0.07144902222726997,0.28284789930934817,-0.2526058082868306,-0.791805259260875,0.43901453957996767,-0.7485805107515557
10,long_short,Low,gross_map_vs_passive,2476,-6.533328809077878e-05,-0.016463988598876253,0.12716860052784645,-0.12946583142802684,-0.40581697988073484,0.4535541195476575,-0.47161126915158935
10,long_short,Mid,gross_map_vs_passive,2476,-0.0002658073549609828,-0.06698345345016767,0.17069059164344705,-0.39242616013709986,-1.2300789897724034,0.45193861066235863,-0.6387887684984764
20,long_flat,High,gross_map_vs_passive,2476,-4.8469463018212204e-05,-0.012214304680589476,0.14336700178496387,-0.08519606693672585,-0.2670512381577648,0.42649434571890144,-0.4782042567675502
20,long_flat,Low,gross_map_vs_passive,2476,-8.564556630605657e-05,-0.021582682709126257,0.06281118106068867,-0.34361211403225955,-1.0770689751027192,0.4454765751211632,-0.30632166482343826
20,long_flat,Mid,gross_map_vs_passive,2476,-0.00011104896040467905,-0.02798433802197912,0.08594626880733859,-0.3256027098129204,-1.0206176168630237,0.44789983844911146,-0.32938814075726985
20,long_short,High,gross_map_vs_passive,2476,-9.693892603642441e-05,-0.024428609361178952,0.28673400356992773,-0.08519606693672585,-0.2670512381577648,0.42649434571890144,-0.7506509505540566
