commodity,commodity_name,main_symbol,first_date,last_date,total_obs,mom_exists_days,mom_signal_established_days,mom_established_days,up_established_days,down_established_days,best_model_label,best_J,best_K,best_n,best_mean_y,best_t_nw,best_hit_rate,best_boot_p_mean_le_0,best_mean_raw,best_candidate_model,best_confirmed_model,best_model_quality,mom_exists_rate,mom_signal_established_rate,mom_established_rate,up_share_when_established,down_share_when_established
AG,沪银,KQ.m@SHFE.ag,2016-01-05,2026-06-30,2545,800,303,303,172,131,AG_Momentum_J2_K1,2,1,800,0.1060566066190427,2.437515845010348,0.51875,0.0025,0.0007350264453917962,True,True,CONFIRMED,0.3143418467583497,0.11905697445972495,0.11905697445972495,0.5676567656765676,0.43234323432343236
CF,棉花,KQ.m@CZCE.CF,2016-01-05,2026-06-30,2545,1209,677,677,361,316,CF_Momentum_J3_K2,3,2,1209,0.1387248485743919,3.200463192505055,0.5103391232423491,0.0,0.0017901822011806574,True,True,CONFIRMED,0.475049115913556,0.26601178781925344,0.26601178781925344,0.5332348596750369,0.4667651403249631
EB,苯乙烯,KQ.m@DCE.eb,2019-09-26,2026-06-30,1635,727,617,617,315,302,EB_Momentum_J20_K5,20,5,722,0.22558812886760252,2.361194814362121,0.5401662049861495,0.0025,0.0072038320453152215,True,True,CONFIRMED,0.44464831804281346,0.37737003058103974,0.37737003058103974,0.5105348460291734,0.48946515397082657
FG,玻璃,KQ.m@CZCE.FG,2016-01-05,2026-06-30,2545,510,454,454,308,146,FG_Momentum_J40_K1,40,1,510,0.11422612726194437,2.129535504758757,0.5372549019607843,0.0175,0.001370374547096565,True,True,CONFIRMED,0.20039292730844793,0.17838899803536346,0.17838899803536346,0.6784140969162996,0.32158590308370044
LH,生猪,KQ.m@DCE.lh,2021-01-08,2026-06-30,1324,569,494,494,135,359,LH_Momentum_J20_K5,20,5,569,0.2327397780436763,1.5582311331747274,0.5483304042179262,0.0575,0.0057826127667430505,True,False,CANDIDATE,0.4297583081570997,0.3731117824773414,0.3731117824773414,0.2732793522267207,0.7267206477732794
M,豆粕,KQ.m@DCE.m,2016-01-05,2026-06-30,2545,1236,714,714,382,332,M_Momentum_J3_K20,3,20,1225,0.06281902005884456,1.3603824808676273,0.5159183673469387,0.0675,0.003154851122495688,True,False,CANDIDATE,0.4856581532416503,0.28055009823182714,0.28055009823182714,0.5350140056022409,0.4649859943977591
MA,甲醇,KQ.m@CZCE.MA,2016-01-05,2026-06-30,2545,1306,757,0,0,0,MA_Momentum_J3_K20,3,20,1292,0.03312700083084288,0.7322736672079263,0.5038699690402477,0.325,0.002263659606101716,False,False,DIAGNOSTIC_ONLY,0.5131630648330059,0.2974459724950884,0.0,,
SA,纯碱,KQ.m@CZCE.SA,2019-12-06,2026-06-30,1589,525,203,203,92,111,SA_Momentum_J2_K2,2,2,524,0.15531978223289716,2.3579192662065624,0.549618320610687,0.015,0.003686260790821481,True,True,CONFIRMED,0.3303964757709251,0.1277533039647577,0.1277533039647577,0.45320197044334976,0.5467980295566502
SP,纸浆,KQ.m@SHFE.sp,2018-11-27,2026-06-30,1839,358,314,314,200,114,SP_Momentum_J40_K20,40,20,357,0.5777679206137424,3.4072494872729147,0.6666666666666666,0.0,0.03122084597921981,True,True,CONFIRMED,0.19467101685698748,0.17074497009244155,0.17074497009244155,0.6369426751592356,0.3630573248407643
SR,白糖,KQ.m@CZCE.SR,2016-01-05,2026-06-30,2545,808,295,0,0,0,SR_Momentum_J2_K2,2,2,807,0.06164053847009465,1.337170752397574,0.4882280049566295,0.08,0.00045798445074839286,False,False,DIAGNOSTIC_ONLY,0.3174852652259332,0.11591355599214145,0.0,,
V,PVC,KQ.m@DCE.v,2016-01-05,2026-06-30,2545,1322,807,807,414,393,V_Momentum_J3_K1,3,1,1321,0.0653998169073192,2.1568396982856655,0.5087055261165784,0.015,0.0010174433466439428,True,True,CONFIRMED,0.5194499017681729,0.31709233791748526,0.31709233791748526,0.5130111524163569,0.48698884758364314
