commodity,mom_side_label,hist_n_episodes,hist_n_ended,hist_n_censored,hist_end_risk_rate,hist_mean_active_duration,hist_median_active_duration,hist_q25_active_duration,hist_q75_active_duration,hist_mean_duration_to_end_signal,hist_median_duration_to_end_signal,hist_duration_reliability
AG,UP,102,102,0,0.4803921568627451,1.6862745098039216,1.0,1.0,2.0,1.6862745098039216,1.0,HIGH
AG,DOWN,88,88,0,0.4772727272727273,1.4886363636363635,1.0,1.0,2.0,1.4886363636363635,1.0,HIGH
CF,UP,156,156,0,0.41025641025641024,2.3141025641025643,2.0,1.0,3.0,2.3141025641025643,2.0,HIGH
CF,DOWN,144,144,0,0.3958333333333333,2.1944444444444446,2.0,1.0,3.0,2.1944444444444446,2.0,HIGH
EB,DOWN,33,32,1,0.42424242424242425,9.125,7.5,3.0,13.0,9.125,7.5,MEDIUM
EB,UP,36,36,0,0.3055555555555556,8.75,7.0,1.0,10.5,8.75,7.0,MEDIUM
FG,UP,20,20,0,0.5,15.4,8.0,1.0,20.25,15.4,8.0,MEDIUM
FG,DOWN,19,19,0,0.47368421052631576,7.684210526315789,6.0,2.5,9.5,7.684210526315789,6.0,LOW
LH,UP,24,24,0,0.25,5.625,4.0,1.75,7.75,5.625,4.0,MEDIUM
LH,DOWN,33,33,0,0.30303030303030304,10.878787878787879,5.0,2.0,16.0,10.878787878787879,5.0,MEDIUM
M,UP,161,160,1,0.4161490683229814,2.375,2.0,1.0,3.0,2.375,2.0,HIGH
M,DOWN,148,148,0,0.3918918918918919,2.2432432432432434,2.0,1.0,3.0,2.2432432432432434,2.0,HIGH
SA,UP,52,52,0,0.4423076923076923,1.7692307692307692,1.0,1.0,2.0,1.7692307692307692,1.0,HIGH
SA,DOWN,74,74,0,0.4189189189189189,1.5,1.0,1.0,2.0,1.5,1.0,HIGH
SP,DOWN,12,12,0,0.25,9.5,3.0,1.0,12.25,9.5,3.0,LOW
SP,UP,17,17,0,0.23529411764705882,11.764705882352942,4.0,2.0,15.0,11.764705882352942,4.0,LOW
V,UP,162,162,0,0.36419753086419754,2.5555555555555554,2.0,1.0,3.0,2.5555555555555554,2.0,HIGH
V,DOWN,149,148,1,0.3691275167785235,2.6013513513513513,2.0,1.0,3.0,2.6013513513513513,2.0,HIGH
