commodity,mom_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_end_risk_rate,hist_duration_reliability,survival_sample_reliability
AG,UP,RISK,1,67,33,0.4925373134328358,0.5074626865671642,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,RISK,2,67,54,0.8059701492537313,0.19402985074626866,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,RISK,3,67,62,0.9253731343283582,0.07462686567164178,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,RISK,5,67,67,1.0,0.0,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,RISK,10,67,67,1.0,0.0,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,RISK,20,67,67,1.0,0.0,102,102,0.4803921568627451,HIGH,HIGH
AG,DOWN,RISK,1,55,34,0.6181818181818182,0.38181818181818183,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,RISK,2,55,50,0.9090909090909091,0.09090909090909094,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,RISK,3,55,54,0.9818181818181818,0.018181818181818188,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,RISK,5,55,55,1.0,0.0,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,RISK,10,55,55,1.0,0.0,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,RISK,20,55,55,1.0,0.0,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,NO_RISK,1,76,54,0.7105263157894737,0.2894736842105263,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,NO_RISK,2,76,67,0.881578947368421,0.11842105263157898,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,NO_RISK,3,76,74,0.9736842105263158,0.02631578947368418,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,NO_RISK,5,76,76,1.0,0.0,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,NO_RISK,10,76,76,1.0,0.0,88,88,0.4772727272727273,HIGH,HIGH
AG,DOWN,NO_RISK,20,76,76,1.0,0.0,88,88,0.4772727272727273,HIGH,HIGH
AG,UP,NO_RISK,1,105,69,0.6571428571428571,0.34285714285714286,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,NO_RISK,2,105,90,0.8571428571428571,0.1428571428571429,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,NO_RISK,3,105,98,0.9333333333333333,0.06666666666666665,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,NO_RISK,5,105,104,0.9904761904761905,0.00952380952380949,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,NO_RISK,10,105,105,1.0,0.0,102,102,0.4803921568627451,HIGH,HIGH
AG,UP,NO_RISK,20,105,105,1.0,0.0,102,102,0.4803921568627451,HIGH,HIGH
CF,UP,RISK,1,122,27,0.22131147540983606,0.7786885245901639,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,RISK,2,122,67,0.5491803278688525,0.4508196721311475,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,RISK,3,122,91,0.7459016393442623,0.25409836065573765,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,RISK,5,122,111,0.9098360655737705,0.0901639344262295,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,RISK,10,122,122,1.0,0.0,156,156,0.41025641025641024,HIGH,HIGH
CF,UP,RISK,20,122,122,1.0,0.0,156,156,0.41025641025641024,HIGH,HIGH
