commodity,commodity_name,main_symbol,date,close,J_mom_star,K_mom_eval,mom_model_scope,MOMModelUsable,MOMEpisodeID,MOMEpisodeSideLabel,MOMAge,MOMEpisodeStartDate,MOMEpisodeRawStartDate,MOMEpisodeCensored,momentum_established_now,mom_side_label,mom_age,mom_end_risk,mom_end_confirmed,n_comparable_completed,duration_reliability,mean_remaining_days,median_remaining_days,p_end_within_1d,p_end_within_2d,p_end_within_3d,p_end_within_5d,p_end_within_10d,p_end_within_20d,hist_n_episodes,hist_n_ended,hist_n_censored,hist_end_risk_rate,hist_mean_active_duration,hist_median_active_duration,hist_q25_active_duration,hist_q75_active_duration,hist_mean_duration_to_end_signal,hist_median_duration_to_end_signal,hist_duration_reliability,life_estimate_reliability
AG,沪银,KQ.m@SHFE.ag,2026-06-30,13966.0,2.0,1.0,CONFIRMED,True,,,,,,,False,UP,,False,False,0,NO_ACTIVE_MOMENTUM,,,,,,,,,,,,,,,,,,,,NO_ACTIVE_MOMENTUM
CF,棉花,KQ.m@CZCE.CF,2026-06-30,16065.0,3.0,2.0,CONFIRMED,True,,,,,,,False,UP,,False,False,0,NO_ACTIVE_MOMENTUM,,,,,,,,,,,,,,,,,,,,NO_ACTIVE_MOMENTUM
EB,苯乙烯,KQ.m@DCE.eb,2026-06-30,7368.0,20.0,5.0,CONFIRMED,True,EB_MOM_0069,DOWN,10,2026-06-16 00:00:00,2026-06-15 00:00:00,True,True,DOWN,10,True,False,12,OK,8.75,5.5,0.08333333333333333,0.08333333333333333,0.25,0.5,0.75,0.8333333333333334,33.0,32.0,1.0,0.42424242424242425,9.125,7.5,3.0,13.0,9.125,7.5,MEDIUM,OK
FG,玻璃,KQ.m@CZCE.FG,2026-06-30,967.0,40.0,1.0,CONFIRMED,True,,,,,,,False,DOWN,,False,True,0,NO_ACTIVE_MOMENTUM,,,,,,,,,,,,,,,,,,,,NO_ACTIVE_MOMENTUM
LH,生猪,KQ.m@DCE.lh,2026-06-30,12365.0,20.0,5.0,CANDIDATE,True,,,,,,,False,UP,,False,False,0,NO_ACTIVE_MOMENTUM,,,,,,,,,,,,,,,,,,,,NO_ACTIVE_MOMENTUM
M,豆粕,KQ.m@DCE.m,2026-06-30,2951.0,3.0,20.0,CANDIDATE,True,M_MOM_0309,UP,2,2026-06-29 00:00:00,2026-06-26 00:00:00,True,True,UP,2,False,False,108,OK,2.037037037037037,1.0,0.5648148148148148,0.7314814814814815,0.8425925925925926,0.9444444444444444,1.0,1.0,161.0,160.0,1.0,0.4161490683229814,2.375,2.0,1.0,3.0,2.375,2.0,HIGH,OK
MA,甲醇,KQ.m@CZCE.MA,2026-06-30,2442.0,3.0,20.0,DIAGNOSTIC_ONLY,False,,,,,,,False,UP,,False,False,0,NO_ACTIVE_MOMENTUM,,,,,,,,,,,,,,,,,,,,NO_ACTIVE_MOMENTUM
SA,纯碱,KQ.m@CZCE.SA,2026-06-30,1084.0,2.0,2.0,CONFIRMED,True,,,,,,,False,DOWN,,False,True,0,NO_ACTIVE_MOMENTUM,,,,,,,,,,,,,,,,,,,,NO_ACTIVE_MOMENTUM
SP,纸浆,KQ.m@SHFE.sp,2026-06-30,4700.0,40.0,20.0,CONFIRMED,True,,,,,,,False,DOWN,,False,False,0,NO_ACTIVE_MOMENTUM,,,,,,,,,,,,,,,,,,,,NO_ACTIVE_MOMENTUM
SR,白糖,KQ.m@CZCE.SR,2026-06-30,5281.0,2.0,2.0,DIAGNOSTIC_ONLY,False,,,,,,,False,UP,,False,False,0,NO_ACTIVE_MOMENTUM,,,,,,,,,,,,,,,,,,,,NO_ACTIVE_MOMENTUM
V,PVC,KQ.m@DCE.v,2026-06-30,4354.0,3.0,1.0,CONFIRMED,True,V_MOM_0311,DOWN,8,2026-06-18 00:00:00,2026-06-17 00:00:00,True,True,DOWN,8,False,False,4,INSUFFICIENT,,,,,,,,,149.0,148.0,1.0,0.3691275167785235,2.6013513513513513,2.0,1.0,3.0,2.6013513513513513,2.0,HIGH,INSUFFICIENT
