side,backtest_method,var_level,tail_prob,var_boundary_latest_pct,rolling_start,rolling_end,refit_every,fixed_one_step_count,multistep_fallback_count,forecast_fallback_share,n,violations,violation_rate,expected_rate,kupiec_lr,kupiec_pvalue,kupiec_pass,symbol,best_model_name,sample_size,reliability
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-5.29845942336634,2023-04-25,2026-06-18,20,762,0,0.0,762,49,0.06430446194225722,0.050000000000000044,3.0223444641165997,0.08212466332689283,True,AG,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,5.365323852814579,2023-04-25,2026-06-18,20,762,0,0.0,762,56,0.07349081364829396,0.050000000000000044,7.781700149613982,0.00527781044827258,False,AG,08_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-10.05007566104616,2023-04-25,2026-06-18,20,762,0,0.0,762,2,0.0026246719160104987,0.010000000000000009,5.931247683238169,0.014874706568781093,False,AG,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,10.116940090494401,2023-04-25,2026-06-18,20,762,0,0.0,762,7,0.009186351706036745,0.010000000000000009,0.05238232897319506,0.8189685114034441,True,AG,08_EGARCH11_t,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-1.4165323844373816,2023-04-25,2026-06-18,20,762,0,0.0,762,38,0.049868766404199474,0.050000000000000044,0.0002765105501794096,0.9867329031190017,True,AL,05_GARCH11_ged,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,1.4873441489793797,2023-04-25,2026-06-18,20,762,0,0.0,762,36,0.047244094488188976,0.050000000000000044,0.12402137460560425,0.7247132594341684,True,AL,05_GARCH11_ged,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,-2.269513475411498,2023-04-25,2026-06-18,20,762,0,0.0,762,7,0.009186351706036745,0.010000000000000009,0.05238232897319506,0.8189685114034441,True,AL,05_GARCH11_ged,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.99,0.010000000000000009,2.3403252399534957,2023-04-25,2026-06-18,20,762,0,0.0,762,6,0.007874015748031496,0.010000000000000009,0.37527359009294514,0.5401436490320203,True,AL,05_GARCH11_ged,2537,HIGH
long,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,-2.249760457192739,2023-04-25,2026-06-18,20,762,0,0.0,762,40,0.05249343832020997,0.050000000000000044,0.09820500384921615,0.7539944261960428,True,AU,08_EGARCH11_t,2537,HIGH
short,expanding_refit_every_20_fixed_params_one_step_forecast,0.95,0.050000000000000044,2.356442882274429,2023-04-25,2026-06-18,20,762,0,0.0,762,50,0.06561679790026247,0.050000000000000044,3.577574090290284,0.05856461722044337,True,AU,08_EGARCH11_t,2537,HIGH
