symbol,best_model_name,best_status,selection_criterion,sample_start,sample_end,sample_size,reliability,best_aic,best_bic,best_loglikelihood,traditional_diag_pass,lb_z_p_lag10,lb_z2_p_lag10,arch_lm_p_lag10,hl_screen_decision,hl_screen_pvalue,hl_screen_pvalue_adj_symbol,hl_screen_M_robust,hl_screen_M_iid,hl_moment_condition_ok,hl_moment_condition_reason,persistence_warning_flag,persistence_warning_reason,fit_warnings,fit_warning_flag,params_json,best_by_aic,best_by_bic,sample_size_health,traditional_diag_pass_health,fit_warning_flag_health,hl_moment_condition_ok_health,hl_moment_condition_reason_health,persistence_warning_flag_health,persistence_warning_reason_health,hl_core_decision,hl_core_pvalue,hl_core_M_robust,hl_core_M_iid,hl_core_Q_gsd,hl_core_TQ_gsd,reject_count,valid_bandwidth_count,reject_share,bandwidth_stability,model_health_raw,model_health,pvalue_adj_across_symbols,decision_adj_across_symbols,model_health_adjusted,dd_status,dd_selected_p,dd_selected_M_robust,dd_selected_pvalue,dd_selected_decision,dd_post_selection_boundary,latest_date,latest_close,latest_return_pct,latest_cond_vol_pct,median_cond_vol_pct,vol_percentile,vol_state,position_scale_raw,position_scale_capped,forecast_vol_1d_pct,forecast_vol_5d_pct,forecast_vol_10d_pct,sample_size_vol,reliability_vol
AG,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8771.58072904392,8806.613154401517,-4379.79036452196,True,0.09867775930398229,0.214679716519996,0.28098021170164916,VARIANCE_NOT_COMPUTED,,,,1.0420200929665828,False,fourth_moment_warning:t_nu=3.1640,False,ok,,False,"{""mu"": 0.03340877457807639, ""omega"": 0.022501521714729616, ""alpha[1]"": 0.11727792859989551, ""gamma[1]"": 0.04447961321817227, ""beta[1]"": 0.9960523866113249, ""nu"": 3.164025424458047}",19_AR1_EGARCH11_t,08_EGARCH11_t,2537,True,False,False,fourth_moment_warning:t_nu=3.1640,False,ok,FAIL_TO_REJECT,0.27309364959024063,0.6034831837437976,1.0420200929665828,18.00239931547566,18.00239931547566,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,5.322815099530681,1.247378658924463,0.10612934393722306,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,16493.0,-2.23044200475983,3.8051788137850426,1.5863730789411619,0.9586125344895546,extreme_high_vol,0.4168984314729703,0.4168984314729703,3.7329786088816475,3.7168013668425823,3.7766175183969963,2537,HIGH
AL,05_GARCH11_ged,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7047.080458614169,7076.2741464121655,-3518.5402293070847,True,0.5203645053073183,0.08694968817038025,0.08827896757177546,VARIANCE_NOT_COMPUTED,,,,0.5035544828015268,True,ok,False,ok,,False,"{""mu"": 0.03581934601070892, ""omega"": 0.008891396694873583, ""alpha[1]"": 0.05994504940213572, ""beta[1]"": 0.9338527923736496, ""nu"": 1.2488128844384112}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.3521696871862393,0.3794693312655674,0.5035544828015268,11.681800239557026,11.681800239557026,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,11.656641150260501,0.41810156525015074,0.3379364303050755,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,23980.0,0.41788610749668,0.8799982132372643,0.9602151630839749,0.3870713441072132,normal_vol,1.0911558099096759,1.0911558099096759,0.8607058391940507,0.8705413820393997,0.8823489435905767,2537,HIGH
AU,08_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,5841.483103762128,5876.515529119723,-2914.741551881064,True,0.7451366962701333,0.11965632042197265,0.13928076772160758,VARIANCE_NOT_COMPUTED,,,,0.8475397582372522,True,ok,False,ok,,False,"{""mu"": 0.053356474104366, ""omega"": 0.007952068952017369, ""alpha[1]"": 0.1598406756335941, ""gamma[1]"": 0.0639431858030121, ""beta[1]"": 0.9842262906548404, ""nu"": 4.235036705486843}",10_EGARCH21_t,08_EGARCH11_t,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.3119359343938678,0.4903703288094731,0.8475397582372522,16.638543570154365,16.638543570154365,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322815099530681,1.689711222648116,0.04554160757915193,REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,937.96,-0.5295349712262101,1.5049207581316528,0.7983743392408608,0.9463933780055184,high_vol,0.5305092211180847,0.5305092211180847,1.4348687903589625,1.4250660388044536,1.3749613719729852,2537,HIGH
CF,10_EGARCH21_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7437.285508787857,7478.156671705052,-3711.6427543939285,True,0.18171524309633547,0.842680409067352,0.8497584574913846,VARIANCE_NOT_COMPUTED,,,,0.15132315894172338,False,fourth_moment_warning:t_nu=3.2287,False,ok,,False,"{""mu"": 0.017854228669660962, ""omega"": 0.029042741913063705, ""alpha[1]"": 0.36993950671489534, ""alpha[2]"": -0.19996843272695888, ""gamma[1]"": -0.0026327080698834455, ""beta[1]"": 0.9901554559217595, ""nu"": 3.2286876045853576}",10_EGARCH21_t,10_EGARCH21_t,2537,True,False,False,fourth_moment_warning:t_nu=3.2287,False,ok,FAIL_TO_REJECT,0.4558937456065225,0.11078417929450946,0.15132315894172338,16.098178175522516,16.098178175522516,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,23.00001858195046,0.12567749257067515,0.44999360945348155,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,16010.0,0.031235358679679998,1.1038142437576441,1.2240419760682186,0.3815530153724872,normal_vol,1.108920258087349,1.108920258087349,0.9058263858318624,1.0263313708435733,1.0452088119268912,2537,HIGH
CU,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7022.399730748794,7063.268133957694,-3504.199865374397,True,0.060699509187965316,0.3042331560559078,0.3226444502308513,VARIANCE_NOT_COMPUTED,,,,-0.7521706298992101,True,ok,False,ok,,False,"{""Const"": 0.03305761769726271, ""ret_pct[1]"": -0.06450248786548884, ""omega"": 0.012894335119366562, ""alpha[1]"": 0.19217599534306248, ""gamma[1]"": 0.019629971349315836, ""beta[1]"": 0.9750591744268765, ""nu"": 4.84672195299532}",19_AR1_EGARCH11_t,18_AR1_GARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.5976525536990003,-0.2472756624393014,-0.7521706298992101,15.860087605915574,15.860087605915574,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322290503348336,0.19973255356454359,0.4208448763313495,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,104780.0,-0.5899722127188199,1.079873933300696,1.0241290377600936,0.5918769716088328,normal_vol,0.9483783302647051,0.9483783302647051,1.0519080521474344,1.0655908783666332,1.07229471974447,2537,HIGH
FG,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,9693.413469576326,9734.281872785226,-4839.706734788163,True,0.9013508307722813,0.9384658637705827,0.9473650025723577,VARIANCE_NOT_COMPUTED,,,,-2.198086505834368,True,ok,False,ok,,False,"{""Const"": 0.021357959964106103, ""ret_pct[1]"": -0.046109089049713996, ""omega"": 0.011904638187311283, ""alpha[1]"": 0.09060339890501548, ""gamma[1]"": 0.010914830559015478, ""beta[1]"": 0.9965619662923384, ""nu"": 4.251023586921628}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.8680477885844462,-1.1172102878829364,-2.198086505834368,7.613734048367846,7.613734048367846,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.8680477885844462,FAIL_TO_REJECT,healthy,ok,5.322290503348336,-0.7744539608698412,0.7806688080667796,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,978.0,-1.82375875497809,1.7480942792973138,1.8648173198074545,0.4250788643533123,normal_vol,1.0667715934389193,1.0667715934389193,1.76704606443926,1.7789797808704224,1.7930157142583274,2537,HIGH
HC,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,8703.363343745952,8744.231746954852,-4344.681671872976,True,0.6804057227301487,0.9223816086184685,0.9211174870664866,VARIANCE_NOT_COMPUTED,,,,-0.6879099904404582,True,ok,False,ok,,False,"{""Const"": 0.03497973810764799, ""ret_pct[1]"": -0.049708804651417936, ""omega"": 0.01226490872303629, ""alpha[1]"": 0.14178160163512768, ""gamma[1]"": 0.012832201002180448, ""beta[1]"": 0.9930341143202774, ""nu"": 5.455776844747738}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.6456985573252867,-0.37373311524136527,-0.6879099904404582,10.874273555310927,10.874273555310927,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322290503348336,0.12021440943382129,0.45215665173860076,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,3349.0,-0.65476424398561,0.6950690213561621,1.3769947974950538,0.03667192429022082,low_vol,1.9810907337063788,1.5,0.707400976019765,0.7306702945507955,0.7545236238114575,2537,HIGH
I,09_EGARCH11_skewt,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,11096.001918546008,11136.873081463204,-5541.000959273004,True,0.1003757077352231,0.8100234478132884,0.8186318533806547,VARIANCE_NOT_COMPUTED,,,,2.338415648433764,True,ok,False,ok,,False,"{""mu"": 0.05537134905568475, ""omega"": 0.010350647654336066, ""alpha[1]"": 0.0946054703069272, ""gamma[1]"": 0.026597981533091994, ""beta[1]"": 0.9963785395571874, ""eta"": 5.772934609251379, ""lambda"": -0.08701996970885242}",09_EGARCH11_skewt,09_EGARCH11_skewt,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.09059376468592262,1.3371075613660848,2.338415648433764,24.174289895920634,24.174289895920634,1,4,0.25,bandwidth_sensitive,borderline_bandwidth_sensitive,borderline_bandwidth_sensitive,0.7671840604875775,FAIL_TO_REJECT,borderline_bandwidth_sensitive,ok,5.322815099530681,2.5072001322702677,0.006084589410371377,REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,747.0,-0.06691201320242,1.103159543785843,2.213691102252389,0.013401655498620418,low_vol,2.0066826369061754,1.5,1.0714633008825605,1.087281621818427,1.105424028227324,2537,HIGH
JM,19_AR1_EGARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,11234.489250917035,11275.357654125935,-5610.2446254585175,True,0.570755020089077,0.9787330159439468,0.9794473082473346,VARIANCE_NOT_COMPUTED,,,,-1.2283419194868006,True,ok,False,ok,,False,"{""Const"": 0.06391471178885536, ""ret_pct[1]"": -0.04676218510657641, ""omega"": 0.01567422981064478, ""alpha[1]"": 0.10377544797876143, ""gamma[1]"": 0.029316161197251372, ""beta[1]"": 0.9952779544137067, ""nu"": 4.801271919207189}",19_AR1_EGARCH11_t,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.6904656544388198,-0.49717068627515604,-1.2283419194868006,18.805464520575992,18.805464520575992,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322290503348336,-0.14268581753747359,0.5567308409667542,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,1271.0,-5.47295551935657,2.574388451831977,2.5014939332403334,0.5461356466876972,normal_vol,0.9716847243702594,0.9716847243702594,2.684999088290124,2.6917229261537097,2.700301638530992,2537,HIGH
M,14_TARCH11_t,accepted_by_traditional_diagnostics_hl_post_check,bic,2016-01-06,2026-06-18,2537,HIGH,7906.424368475765,7941.45679383336,-3947.2121842378824,True,0.9369048212283488,0.992898697063835,0.9914650389509809,VARIANCE_NOT_COMPUTED,,,,-0.6696085498273611,False,fourth_moment_warning:t_nu=3.8361,True,review_persistence_proxy_not_hard_filter:1.0260,,False,"{""mu"": 0.023278237551474238, ""omega"": 0.022395795743700143, ""alpha[1]"": 0.06943909510886553, ""gamma[1]"": -0.06389549993209762, ""beta[1]"": 0.9565960905384089, ""nu"": 3.83605230001795}",16_APARCH11_t,14_TARCH11_t,2537,True,False,False,fourth_moment_warning:t_nu=3.8361,True,review_persistence_proxy_not_hard_filter:1.0260,FAIL_TO_REJECT,0.6305315035965307,-0.33326137492593383,-0.6696085498273611,39.342732699948336,39.342732699948336,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,5.322815099530681,0.2009294494821369,0.42037686996297075,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability,2026-06-18,2942.0,-0.50856186910943,0.9640592753706875,1.2494696734475894,0.07055577453685455,low_vol,1.2960506738210258,1.2960506738210258,0.9475594358606882,0.9775567992855689,1.0022944668742269,2537,HIGH
