symbol,best_model_name,sample_size,traditional_diag_pass,fit_warning_flag,hl_moment_condition_ok,hl_moment_condition_reason,persistence_warning_flag,persistence_warning_reason,hl_core_decision,hl_core_pvalue,hl_core_M_robust,hl_core_M_iid,hl_core_Q_gsd,hl_core_TQ_gsd,reject_count,valid_bandwidth_count,reject_share,bandwidth_stability,model_health_raw,model_health,pvalue_adj_across_symbols,decision_adj_across_symbols,model_health_adjusted,dd_status,dd_selected_p,dd_selected_M_robust,dd_selected_pvalue,dd_selected_decision,dd_post_selection_boundary
AG,08_EGARCH11_t,2537,True,False,False,fourth_moment_warning:t_nu=3.1640,False,ok,FAIL_TO_REJECT,0.27309364959024063,0.6034831837437976,1.0420200929665828,18.00239931547566,18.00239931547566,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,5.322815099530681,1.247378658924463,0.10612934393722306,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
AL,05_GARCH11_ged,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.3521696871862393,0.3794693312655674,0.5035544828015268,11.681800239557026,11.681800239557026,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,11.656641150260501,0.41810156525015074,0.3379364303050755,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
AU,08_EGARCH11_t,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.3119359343938678,0.4903703288094731,0.8475397582372522,16.638543570154365,16.638543570154365,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322815099530681,1.689711222648116,0.04554160757915193,REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
CF,10_EGARCH21_t,2537,True,False,False,fourth_moment_warning:t_nu=3.2287,False,ok,FAIL_TO_REJECT,0.4558937456065225,0.11078417929450946,0.15132315894172338,16.098178175522516,16.098178175522516,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,23.00001858195046,0.12567749257067515,0.44999360945348155,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
CU,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.5976525536990003,-0.2472756624393014,-0.7521706298992101,15.860087605915574,15.860087605915574,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322290503348336,0.19973255356454359,0.4208448763313495,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
FG,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.8680477885844462,-1.1172102878829364,-2.198086505834368,7.613734048367846,7.613734048367846,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.8680477885844462,FAIL_TO_REJECT,healthy,ok,5.322290503348336,-0.7744539608698412,0.7806688080667796,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
HC,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.6456985573252867,-0.37373311524136527,-0.6879099904404582,10.874273555310927,10.874273555310927,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322290503348336,0.12021440943382129,0.45215665173860076,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
I,09_EGARCH11_skewt,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.09059376468592262,1.3371075613660848,2.338415648433764,24.174289895920634,24.174289895920634,1,4,0.25,bandwidth_sensitive,borderline_bandwidth_sensitive,borderline_bandwidth_sensitive,0.7671840604875775,FAIL_TO_REJECT,borderline_bandwidth_sensitive,ok,5.322815099530681,2.5072001322702677,0.006084589410371377,REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
JM,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.6904656544388198,-0.49717068627515604,-1.2283419194868006,18.805464520575992,18.805464520575992,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322290503348336,-0.14268581753747359,0.5567308409667542,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
M,14_TARCH11_t,2537,True,False,False,fourth_moment_warning:t_nu=3.8361,True,review_persistence_proxy_not_hard_filter:1.0260,FAIL_TO_REJECT,0.6305315035965307,-0.33326137492593383,-0.6696085498273611,39.342732699948336,39.342732699948336,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,5.322815099530681,0.2009294494821369,0.42037686996297075,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
MA,05_GARCH11_ged,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.2842558970602145,0.5702446234818986,0.7517905259879654,11.36103954798902,11.36103954798902,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,7.876937572712969,0.8200982997132812,0.2060800357227599,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
OI,08_EGARCH11_t,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.5945036114621337,-0.23914547958994722,-0.4436634927591018,13.31692589787517,13.31692589787517,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,46.626564601042006,-0.010375295321761702,0.5041390697157995,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
P,09_EGARCH11_skewt,2537,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.24571361772135036,0.6880405670084264,1.1121485380853413,15.825594733258976,15.825594733258976,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,5.322815099530681,1.847136169385037,0.032363703786344566,REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
RB,19_AR1_EGARCH11_t,2536,True,False,True,ok,False,ok,FAIL_TO_REJECT,0.3895065852162255,0.2806052740033966,0.4833613572962611,14.9053009417642,14.9053009417642,0,4,0.0,stable_fail_to_reject,healthy,healthy,0.7671840604875775,FAIL_TO_REJECT,healthy,ok,7.096387337797782,0.463901322954191,0.3213592224735107,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
RU,08_EGARCH11_t,2537,True,False,False,fourth_moment_warning:t_nu=3.3530,False,ok,FAIL_TO_REJECT,0.41653980785515654,0.21075351204195508,0.6805035379741131,47.2304085789804,47.2304085789804,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,14.194173598748483,0.2014582178086925,0.4201701484858298,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
SN,19_AR1_EGARCH11_t,2536,True,False,False,fourth_moment_warning:t_nu=3.7399,False,ok,FAIL_TO_REJECT,0.5229396032597515,-0.05753278150600822,-0.10646007906038694,19.600217952870963,19.600217952870963,0,4,0.0,stable_fail_to_reject,hl_inference_limited_fourth_moment,hl_inference_limited_fourth_moment,0.7671840604875775,FAIL_TO_REJECT,hl_inference_limited_fourth_moment,ok,10.501341329455615,0.04426015281991421,0.4823485169860172,FAIL_TO_REJECT,selected-p pvalue is descriptive; use MC for finite-sample reliability
