dd_label,dd_status,dd_selected_p,dd_selected_c,dd_selected_lambda,dd_selected_M_robust,dd_selected_pvalue,dd_selected_decision,dd_selected_objective,dd_candidate_count,dd_valid_candidate_count,dd_post_selection_boundary,symbol,best_model_name
AG:08_EGARCH11_t,ok,5.322815099530681,0.75,0.25,1.247378658924463,0.10612934393722306,FAIL_TO_REJECT,1.11913570327609,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,AG,08_EGARCH11_t
AL:05_GARCH11_ged,ok,11.656641150260501,0.75,0.35,0.41810156525015074,0.3379364303050755,FAIL_TO_REJECT,0.22832195861465082,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,AL,05_GARCH11_ged
AU:08_EGARCH11_t,ok,5.322815099530681,0.75,0.25,1.689711222648116,0.04554160757915193,REJECT,1.5614682669997428,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,AU,08_EGARCH11_t
CF:10_EGARCH21_t,ok,23.00001858195046,1.0,0.4,0.12567749257067515,0.44999360945348155,FAIL_TO_REJECT,-0.14090211364936303,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,CF,10_EGARCH21_t
CU:19_AR1_EGARCH11_t,ok,5.322290503348336,0.75,0.25,0.19973255356454359,0.4208448763313495,FAIL_TO_REJECT,0.07147386234568043,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,CU,19_AR1_EGARCH11_t
FG:19_AR1_EGARCH11_t,ok,5.322290503348336,0.75,0.25,-0.7744539608698412,0.7806688080667796,FAIL_TO_REJECT,-0.9027126520887043,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,FG,19_AR1_EGARCH11_t
HC:19_AR1_EGARCH11_t,ok,5.322290503348336,0.75,0.25,0.12021440943382129,0.45215665173860076,FAIL_TO_REJECT,-0.008044281785041865,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,HC,19_AR1_EGARCH11_t
I:09_EGARCH11_skewt,ok,5.322815099530681,0.75,0.25,2.5072001322702677,0.006084589410371377,REJECT,2.3789571766218947,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,I,09_EGARCH11_skewt
JM:19_AR1_EGARCH11_t,ok,5.322290503348336,0.75,0.25,-0.14268581753747359,0.5567308409667542,FAIL_TO_REJECT,-0.27094450875633674,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,JM,19_AR1_EGARCH11_t
M:14_TARCH11_t,ok,5.322815099530681,0.75,0.25,0.2009294494821369,0.42037686996297075,FAIL_TO_REJECT,0.07268649383376391,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,M,14_TARCH11_t
MA:05_GARCH11_ged,ok,7.876937572712969,0.75,0.3,0.8200982997132812,0.2060800357227599,FAIL_TO_REJECT,0.664092217534662,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,MA,05_GARCH11_ged
OI:08_EGARCH11_t,ok,46.626564601042006,3.0,0.35,-0.010375295321761702,0.5041390697157995,FAIL_TO_REJECT,-0.3899345085927615,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,OI,08_EGARCH11_t
P:09_EGARCH11_skewt,ok,5.322815099530681,0.75,0.25,1.847136169385037,0.032363703786344566,REJECT,1.718893213736664,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,P,09_EGARCH11_skewt
RB:19_AR1_EGARCH11_t,ok,7.096387337797782,1.0,0.25,0.463901322954191,0.3213592224735107,FAIL_TO_REJECT,0.3158009431519515,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,RB,19_AR1_EGARCH11_t
RU:08_EGARCH11_t,ok,14.194173598748483,2.0,0.25,0.2014582178086925,0.4201701484858298,FAIL_TO_REJECT,-0.007961651821232624,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,RU,08_EGARCH11_t
SN:19_AR1_EGARCH11_t,ok,10.501341329455615,1.0,0.3,0.04426015281991421,0.4823485169860172,FAIL_TO_REJECT,-0.13590048201219357,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,SN,19_AR1_EGARCH11_t
SR:08_EGARCH11_t,ok,14.194173598748483,2.0,0.25,-0.5851949770503254,0.7207916890341527,FAIL_TO_REJECT,-0.7946148466802505,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,SR,08_EGARCH11_t
TA:05_GARCH11_ged,ok,7.0970867993742415,1.0,0.25,-0.13533915722214368,0.5538281365595668,FAIL_TO_REJECT,-0.2834213671526664,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,TA,05_GARCH11_ged
V:03_GARCH11_t,ok,5.322815099530681,0.75,0.25,-0.5743742361862922,0.7171427083066956,FAIL_TO_REJECT,-0.7026171918346652,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,V,03_GARCH11_t
Y:09_EGARCH11_skewt,ok,69.00005574585138,3.0,0.4,0.9949753287953448,0.15987413180669463,FAIL_TO_REJECT,0.5332459065605344,24,24,selected-p pvalue is descriptive; use MC for finite-sample reliability,Y,09_EGARCH11_skewt
